Zeit;Wert 1-avg[W]
2023-01-07 15:00:32.830181; 46.46148
2023-01-07 15:00:33.845874; 48.170724
2023-01-07 15:00:34.859942; 50.84124
2023-01-07 15:00:35.880419; 50.84124
2023-01-07 15:00:36.893420; 46.827408
2023-01-07 15:00:37.909920; 46.315962
2023-01-07 15:00:38.928208; 46.772187
2023-01-07 15:00:39.941336; 49.213164
2023-01-07 15:00:40.945581; 50.20491
2023-01-07 15:00:41.960121; 49.155806
2023-01-07 15:00:42.969424; 47.282508
2023-01-07 15:00:43.975095; 48.78048
2023-01-07 15:00:44.982082; 49.417368
2023-01-07 15:00:45.990580; 49.53256
2023-01-07 15:00:47.008093; 49.53256
2023-01-07 15:00:48.015970; 46.20056
2023-01-07 15:00:49.037846; 46.969538
2023-01-07 15:00:50.055909; 46.14582
2023-01-07 15:00:51.070492; 50.732318
2023-01-07 15:00:52.092139; 49.94192
2023-01-07 15:00:53.123155; 49.73724
2023-01-07 15:00:54.124849; 48.057912
2023-01-07 15:00:55.142597; 46.45641
2023-01-07 15:00:56.151367; 46.972926
2023-01-07 15:00:57.159540; 50.519157
2023-01-07 15:00:58.162529; 49.417368
2023-01-07 15:00:59.176646; 48.373976
2023-01-07 15:01:00.286744; 46.878384
2023-01-07 15:01:01.301054; 49.94192
2023-01-07 15:01:02.302630; 49.679406
2023-01-07 15:01:03.313511; 51.25125
2023-01-07 15:01:04.317315; 46.261215
2023-01-07 15:01:05.321020; 46.65752
2023-01-07 15:01:06.338263; 48.373976
2023-01-07 15:01:07.339898; 49.585851
2023-01-07 15:01:08.341232; 50.519157
2023-01-07 15:01:09.360371; 46.972926
2023-01-07 15:01:10.375971; 46.261215
2023-01-07 15:01:11.389807; 46.206468
2023-01-07 15:01:12.398082; 50.256324
2023-01-07 15:01:13.405884; 50.314626
2023-01-07 15:01:14.425003; 50.20491
2023-01-07 15:01:15.441003; 46.914084
2023-01-07 15:01:16.473145; 46.712736
2023-01-07 15:01:17.490119; 47.282508
2023-01-07 15:01:18.493641; 33.231702
2023-01-07 15:01:19.499138; 31.645908
2023-01-07 15:01:20.501229; 31.38387
2023-01-07 15:01:21.506878; 31.688272
2023-01-07 15:01:22.515521; 32.079306
2023-01-07 15:01:23.518517; 32.566968
2023-01-07 15:01:24.522965; 31.815364
2023-01-07 15:01:25.524262; 31.688272
2023-01-07 15:01:26.526036; 31.645908
2023-01-07 15:01:27.544568; 31.468122
2023-01-07 15:01:28.552242; 31.9515
2023-01-07 15:01:29.579371; 31.688272
